,Variable,Nivel,Coefficient,PValue
0,Intercept,,3.685757820383301,0.0
1,COLE_COD_MCPIO_UBICACION,5042,-0.01731014264592338,0.5673515568204366
2,COLE_COD_MCPIO_UBICACION,5045,0.036607361678384714,0.000278872916675558
3,COLE_COD_MCPIO_UBICACION,5079,-0.06359894717626385,0.004485587427233599
4,COLE_COD_MCPIO_UBICACION,5088,-0.03249371810719151,1.171048149145688e-22
5,COLE_COD_MCPIO_UBICACION,5101,-0.0621716405101784,0.04431741216919306
6,COLE_COD_MCPIO_UBICACION,5129,0.09408966496683964,2.5266352476505927e-13
7,COLE_COD_MCPIO_UBICACION,5148,-0.001210111995145931,0.9735397071580729
8,COLE_COD_MCPIO_UBICACION,5154,0.03317109513935594,0.015618292980608548
9,COLE_COD_MCPIO_UBICACION,5172,-0.1180091937581276,2.5081758664659577e-10
10,COLE_COD_MCPIO_UBICACION,5212,0.0039969459552868175,0.6717195329769747
11,COLE_COD_MCPIO_UBICACION,5237,-0.046676372690604075,0.03808416818002519
12,COLE_COD_MCPIO_UBICACION,5250,-0.14152472111688527,1.3198593866685285e-08
13,COLE_COD_MCPIO_UBICACION,5264,-0.00720665392989428,0.7884326996079258
14,COLE_COD_MCPIO_UBICACION,5266,-0.01691560740486013,4.2057929602766786e-06
15,COLE_COD_MCPIO_UBICACION,5308,0.09092816455083347,1.0928432766394463e-15
16,COLE_COD_MCPIO_UBICACION,5318,-0.030209106030811526,0.264589637947215
17,COLE_COD_MCPIO_UBICACION,5360,-0.034887687064023724,1.3241891659706611e-10
18,COLE_COD_MCPIO_UBICACION,5376,0.00668885475041539,0.611067006030336
19,COLE_COD_MCPIO_UBICACION,5380,-0.019189689675133816,0.00035755663358994454
20,COLE_COD_MCPIO_UBICACION,5400,0.0011199430354829826,0.9638796351236358
21,COLE_COD_MCPIO_UBICACION,5440,0.03546381322062651,0.0028819808216648504
22,COLE_COD_MCPIO_UBICACION,5579,-0.028396006517167626,0.27887464594553063
23,COLE_COD_MCPIO_UBICACION,5607,0.0337240956538963,0.002536933025539629
24,COLE_COD_MCPIO_UBICACION,5615,-0.011768804023411109,0.07616663579520087
25,COLE_COD_MCPIO_UBICACION,5631,0.014987536899112794,0.04666174057207337
26,COLE_COD_MCPIO_UBICACION,5686,-0.007225796734765796,0.5672401729746422
27,COLE_COD_MCPIO_UBICACION,5697,-0.09801623318077508,3.3623447891019115e-16
28,COLE_COD_MCPIO_UBICACION,5736,-0.14556505853443438,2.4009408923886425e-05
29,COLE_COD_MCPIO_UBICACION,5837,-0.09945221847947226,7.977076144991299e-29
30,COLE_COD_MCPIO_UBICACION,5887,-0.09911958542049039,5.816916298663507e-10
31,COLE_COD_MCPIO_UBICACION,5895,-0.14609222205881428,0.02071198027797542
32,COLE_COD_MCPIO_UBICACION,8001,-0.05764374308206788,9.100994353993036e-147
33,COLE_COD_MCPIO_UBICACION,8296,-0.052563177606396824,0.00011419914526427371
34,COLE_COD_MCPIO_UBICACION,8433,2.7438479928434664e-05,0.9962414234750019
35,COLE_COD_MCPIO_UBICACION,8573,-0.0197633647970114,1.4202584776557725e-05
36,COLE_COD_MCPIO_UBICACION,8634,-0.07777400899363116,0.00872614643163629
37,COLE_COD_MCPIO_UBICACION,8638,-0.06047096469984345,7.484594601399033e-10
38,COLE_COD_MCPIO_UBICACION,8758,-0.037008905387160736,1.1932756060659987e-37
39,COLE_COD_MCPIO_UBICACION,11001,-0.008969908983177984,2.536794814052228e-08
40,COLE_COD_MCPIO_UBICACION,13001,-0.022656895497116556,4.968411193044544e-23
41,COLE_COD_MCPIO_UBICACION,13052,0.0054374894405065256,0.6222328821195521
42,COLE_COD_MCPIO_UBICACION,13244,-0.014849449989373572,0.20598201238436226
43,COLE_COD_MCPIO_UBICACION,13430,0.04582555787846917,8.974297801198636e-08
44,COLE_COD_MCPIO_UBICACION,13468,0.02392420589139802,0.1828280146593304
45,COLE_COD_MCPIO_UBICACION,13836,-0.015131843902199403,0.03260162112253149
46,COLE_COD_MCPIO_UBICACION,15001,-0.0002867716686170132,0.9450176725055084
47,COLE_COD_MCPIO_UBICACION,15176,0.014899498056951017,0.06326314484616988
48,COLE_COD_MCPIO_UBICACION,15204,0.04792273528559629,0.0411054136360305
49,COLE_COD_MCPIO_UBICACION,15238,0.04325262591611822,1.777975750665054e-19
50,COLE_COD_MCPIO_UBICACION,15299,0.03926141253009992,0.619913076658665
51,COLE_COD_MCPIO_UBICACION,15322,-0.06273692302912946,0.2995172854908974
52,COLE_COD_MCPIO_UBICACION,15407,0.06859308831957983,0.0013653456847382082
53,COLE_COD_MCPIO_UBICACION,15455,-0.0103425059265508,0.8387120033934217
54,COLE_COD_MCPIO_UBICACION,15469,-0.031169284614238332,0.35314492611799775
55,COLE_COD_MCPIO_UBICACION,15491,0.08568129200214719,8.510214330709728e-08
56,COLE_COD_MCPIO_UBICACION,15500,0.028342028794013877,0.38665257870831116
57,COLE_COD_MCPIO_UBICACION,15516,0.1277866161326125,2.5460542291927655e-32
58,COLE_COD_MCPIO_UBICACION,15572,0.06882314864079087,1.025295193909449e-05
59,COLE_COD_MCPIO_UBICACION,15599,0.05337418344657944,0.3774041753095717
60,COLE_COD_MCPIO_UBICACION,15632,0.08080268132768752,0.0033475066869838627
61,COLE_COD_MCPIO_UBICACION,15638,-0.013733575820956244,0.8528701313121146
62,COLE_COD_MCPIO_UBICACION,15646,0.2062100726765399,1.0664984305013077e-17
63,COLE_COD_MCPIO_UBICACION,15686,-0.03768805724030505,0.500855659276859
