,Variable,Nivel,Coefficient,PValue
0,Intercept,,3.792309379604369,0.0
1,COLE_COD_MCPIO_UBICACION,5042,-0.029442023450250238,0.2011808125553791
2,COLE_COD_MCPIO_UBICACION,5045,0.02956691773322796,0.00011495119738846512
3,COLE_COD_MCPIO_UBICACION,5079,-0.030820620699516556,0.07037391788159082
4,COLE_COD_MCPIO_UBICACION,5088,-0.02098469749795836,9.376869074605384e-17
5,COLE_COD_MCPIO_UBICACION,5101,-0.03887631350903476,0.09847329456843382
6,COLE_COD_MCPIO_UBICACION,5129,0.05247968098790144,8.197921282993398e-08
7,COLE_COD_MCPIO_UBICACION,5148,0.002402175906613168,0.9310586979084366
8,COLE_COD_MCPIO_UBICACION,5154,0.05415035403448067,2.1518796963074057e-07
9,COLE_COD_MCPIO_UBICACION,5172,-0.07003723120829315,8.080847653876186e-07
10,COLE_COD_MCPIO_UBICACION,5212,-0.012153796043803742,0.09042328831716269
11,COLE_COD_MCPIO_UBICACION,5237,-0.03684509332224883,0.031473342112179004
12,COLE_COD_MCPIO_UBICACION,5250,-0.11510289179433897,1.2520645286955234e-09
13,COLE_COD_MCPIO_UBICACION,5264,-0.026806479990633257,0.18968827970027144
14,COLE_COD_MCPIO_UBICACION,5266,-0.013441149157805074,1.5587315857251272e-06
15,COLE_COD_MCPIO_UBICACION,5308,0.0735118911454295,1.6672840788019593e-17
16,COLE_COD_MCPIO_UBICACION,5318,0.008773789085232981,0.6703083867371105
17,COLE_COD_MCPIO_UBICACION,5360,-0.024716296501741834,2.2296255634982535e-09
18,COLE_COD_MCPIO_UBICACION,5376,-0.0024630142452708205,0.8056462613414754
19,COLE_COD_MCPIO_UBICACION,5380,-0.016344562147409116,6.476449475441366e-05
20,COLE_COD_MCPIO_UBICACION,5400,-0.021773156423558784,0.2473597826286777
21,COLE_COD_MCPIO_UBICACION,5440,0.025144674135614404,0.005499659965622787
22,COLE_COD_MCPIO_UBICACION,5579,-0.04472298378223627,0.025037200964637404
23,COLE_COD_MCPIO_UBICACION,5607,0.029858016224370898,0.0004449966849061145
24,COLE_COD_MCPIO_UBICACION,5615,-0.009979638879683722,0.04817368527515382
25,COLE_COD_MCPIO_UBICACION,5631,0.006339841881038021,0.2688653501650479
26,COLE_COD_MCPIO_UBICACION,5686,-0.018570784932206548,0.053364088001356176
27,COLE_COD_MCPIO_UBICACION,5697,-0.08850133432000645,3.664091099065602e-22
28,COLE_COD_MCPIO_UBICACION,5736,-0.11179141134154735,2.024236574058512e-05
29,COLE_COD_MCPIO_UBICACION,5837,-0.07307700543757761,5.574618300744886e-27
30,COLE_COD_MCPIO_UBICACION,5887,-0.06877724119536921,1.6204315147729668e-08
31,COLE_COD_MCPIO_UBICACION,5895,-0.06880849071649796,0.15228326296518582
32,COLE_COD_MCPIO_UBICACION,8001,-0.03932861115345798,2.3547956756559417e-118
33,COLE_COD_MCPIO_UBICACION,8296,-0.044081652276564326,2.1242067813871507e-05
34,COLE_COD_MCPIO_UBICACION,8433,0.003244941576694389,0.46418091533121175
35,COLE_COD_MCPIO_UBICACION,8573,-0.009955310745953742,0.004066891586722474
36,COLE_COD_MCPIO_UBICACION,8634,-0.06666554078919472,0.0031399128547550783
37,COLE_COD_MCPIO_UBICACION,8638,-0.045758957066031676,9.350959616187788e-10
38,COLE_COD_MCPIO_UBICACION,8758,-0.021834404258614604,2.7383332221737415e-23
39,COLE_COD_MCPIO_UBICACION,11001,-0.011951007562946757,1.8145289996613832e-22
40,COLE_COD_MCPIO_UBICACION,13001,-0.012260372338671853,2.117346407940188e-12
41,COLE_COD_MCPIO_UBICACION,13052,0.005329364887042481,0.525768856689769
42,COLE_COD_MCPIO_UBICACION,13244,-0.01946748333352795,0.029371431135486972
43,COLE_COD_MCPIO_UBICACION,13430,0.04350900331134827,2.5669710660328652e-11
44,COLE_COD_MCPIO_UBICACION,13468,0.01046810180126547,0.4437754351608706
45,COLE_COD_MCPIO_UBICACION,13836,-0.014075022636552888,0.009009918246105022
46,COLE_COD_MCPIO_UBICACION,15001,-0.009738788117922677,0.0020892948797008597
47,COLE_COD_MCPIO_UBICACION,15176,-0.0004920416383237033,0.9357668034874683
48,COLE_COD_MCPIO_UBICACION,15204,0.033759140939259656,0.0586938208972483
49,COLE_COD_MCPIO_UBICACION,15238,0.01716167843905214,2.528750679780039e-06
50,COLE_COD_MCPIO_UBICACION,15299,0.057248667039981195,0.34199928402487434
51,COLE_COD_MCPIO_UBICACION,15322,-0.09133253381039783,0.04720365897756509
52,COLE_COD_MCPIO_UBICACION,15407,0.05086422786778223,0.0018107199077018819
53,COLE_COD_MCPIO_UBICACION,15455,-0.054175367153387506,0.16125522590574362
54,COLE_COD_MCPIO_UBICACION,15469,-0.02597484118044152,0.3093122487979576
55,COLE_COD_MCPIO_UBICACION,15491,0.05572573726191193,4.717892351576044e-06
56,COLE_COD_MCPIO_UBICACION,15500,0.005933547981645435,0.8117775493111986
57,COLE_COD_MCPIO_UBICACION,15516,0.07846016618874253,1.3130788847383438e-21
58,COLE_COD_MCPIO_UBICACION,15572,0.04071981343646315,0.0006042963562574751
59,COLE_COD_MCPIO_UBICACION,15599,0.0880791881895306,0.05563441949610611
60,COLE_COD_MCPIO_UBICACION,15632,0.03352074122091648,0.10977877047603365
61,COLE_COD_MCPIO_UBICACION,15638,0.015477299274064214,0.783612347544959
62,COLE_COD_MCPIO_UBICACION,15646,0.16682789929595687,8.545744386979849e-20
63,COLE_COD_MCPIO_UBICACION,15686,-0.06443970482917978,0.13046924074277055
