,Variable,Nivel,Coefficient,PValue
0,Intercept,,3.6382163680296333,0.0
1,COLE_COD_MCPIO_UBICACION,5042,-0.027830391207481802,0.31883575487528204
2,COLE_COD_MCPIO_UBICACION,5045,0.04233459466109118,5.214515780753663e-06
3,COLE_COD_MCPIO_UBICACION,5079,-0.04733345061016181,0.021859450312711085
4,COLE_COD_MCPIO_UBICACION,5088,-0.03639901172624216,1.250930437404458e-32
5,COLE_COD_MCPIO_UBICACION,5101,-0.02876152102875413,0.3131891053462946
6,COLE_COD_MCPIO_UBICACION,5129,0.1314390366081424,1.5525615637494813e-28
7,COLE_COD_MCPIO_UBICACION,5148,0.00895521318220143,0.7901671310421555
8,COLE_COD_MCPIO_UBICACION,5154,0.07185227973049498,1.3697270780368285e-08
9,COLE_COD_MCPIO_UBICACION,5172,-0.05079202060033686,0.0031583845873456684
10,COLE_COD_MCPIO_UBICACION,5212,-0.016006744131535668,0.06579570657918207
11,COLE_COD_MCPIO_UBICACION,5237,-0.029066081413081975,0.16150403711676012
12,COLE_COD_MCPIO_UBICACION,5250,-0.16021090114478728,3.0674480792208437e-12
13,COLE_COD_MCPIO_UBICACION,5264,0.04369346544429215,0.07778049251133198
14,COLE_COD_MCPIO_UBICACION,5266,-0.0017375828522868428,0.6084114696549177
15,COLE_COD_MCPIO_UBICACION,5308,0.10052630666325306,7.483202038972621e-22
16,COLE_COD_MCPIO_UBICACION,5318,-0.025569270032270115,0.306010876564902
17,COLE_COD_MCPIO_UBICACION,5360,-0.042861328310819714,1.1695871872995597e-17
18,COLE_COD_MCPIO_UBICACION,5376,0.017224566611704694,0.15571042492787895
19,COLE_COD_MCPIO_UBICACION,5380,-0.02504843010656822,4.395400078361394e-07
20,COLE_COD_MCPIO_UBICACION,5400,0.006118999294191214,0.78852825220939
21,COLE_COD_MCPIO_UBICACION,5440,0.05737879344023591,1.7247758668429748e-07
22,COLE_COD_MCPIO_UBICACION,5579,-0.039342239582954464,0.10387052422451601
23,COLE_COD_MCPIO_UBICACION,5607,0.030247162869958107,0.0033329276200387372
24,COLE_COD_MCPIO_UBICACION,5615,0.011079016832619087,0.07033415126710701
25,COLE_COD_MCPIO_UBICACION,5631,0.024659706590258477,0.0003877528881339193
26,COLE_COD_MCPIO_UBICACION,5686,-0.03748047048262463,0.001295279432560605
27,COLE_COD_MCPIO_UBICACION,5697,-0.09320444091772793,4.06078699669475e-17
28,COLE_COD_MCPIO_UBICACION,5736,-0.22713991894155944,9.009774766319122e-13
29,COLE_COD_MCPIO_UBICACION,5837,-0.10077261997663145,1.9741670988199707e-34
30,COLE_COD_MCPIO_UBICACION,5887,-0.07451210293568221,4.447113119926012e-07
31,COLE_COD_MCPIO_UBICACION,5895,-0.065223899266144,0.2629065305773877
32,COLE_COD_MCPIO_UBICACION,8001,-0.052425410651615344,1.0111709229944111e-142
33,COLE_COD_MCPIO_UBICACION,8296,-0.023261435683332995,0.06417426276389604
34,COLE_COD_MCPIO_UBICACION,8433,0.026215945451369724,1.0660515589196748e-06
35,COLE_COD_MCPIO_UBICACION,8573,-0.0027138118691900116,0.51818175559371
36,COLE_COD_MCPIO_UBICACION,8634,-0.06948473837169436,0.011084622104357305
37,COLE_COD_MCPIO_UBICACION,8638,-0.08360452715022199,2.8262257727475884e-20
38,COLE_COD_MCPIO_UBICACION,8758,-0.01602916766475419,1.7238487793223663e-09
39,COLE_COD_MCPIO_UBICACION,11001,0.004340146771112858,0.0034776383798085157
40,COLE_COD_MCPIO_UBICACION,13001,-0.015926657513311848,5.0422231826209036e-14
41,COLE_COD_MCPIO_UBICACION,13052,0.04400877580021876,1.5411011569743883e-05
42,COLE_COD_MCPIO_UBICACION,13244,-0.03487405666840599,0.0012829560554310283
43,COLE_COD_MCPIO_UBICACION,13430,0.07872034434754531,2.3831718658996757e-23
44,COLE_COD_MCPIO_UBICACION,13468,0.036087976345909344,0.029386492901932605
45,COLE_COD_MCPIO_UBICACION,13836,-0.02049231945420201,0.0017056553315722446
46,COLE_COD_MCPIO_UBICACION,15001,0.016545499779221512,1.60790676462807e-05
47,COLE_COD_MCPIO_UBICACION,15176,0.0293778452574808,7.18856067086782e-05
48,COLE_COD_MCPIO_UBICACION,15204,0.09596569861631653,9.25916873007283e-06
49,COLE_COD_MCPIO_UBICACION,15238,0.06483475197086422,1.0633052680015531e-48
50,COLE_COD_MCPIO_UBICACION,15299,0.11513835772336897,0.11485384955406155
51,COLE_COD_MCPIO_UBICACION,15322,-0.1442849758964099,0.009694111395729144
52,COLE_COD_MCPIO_UBICACION,15407,0.09723435213024266,8.641732409423578e-07
53,COLE_COD_MCPIO_UBICACION,15455,-0.08886853295341124,0.057968541584253595
54,COLE_COD_MCPIO_UBICACION,15469,-0.01391069146638722,0.6532746402994656
55,COLE_COD_MCPIO_UBICACION,15491,0.11063335267193082,6.535688161308791e-14
56,COLE_COD_MCPIO_UBICACION,15500,0.061436722276018915,0.04192115084360777
57,COLE_COD_MCPIO_UBICACION,15516,0.18115045854894551,6.569649495866481e-74
58,COLE_COD_MCPIO_UBICACION,15572,0.09594187839176328,2.611028162531374e-11
59,COLE_COD_MCPIO_UBICACION,15599,0.1564123853558418,0.005045496130067291
60,COLE_COD_MCPIO_UBICACION,15632,0.06292002276031891,0.013263945168193568
61,COLE_COD_MCPIO_UBICACION,15638,-0.004719304052105005,0.9449213184707898
62,COLE_COD_MCPIO_UBICACION,15646,0.2737784589835252,6.331659873357858e-35
63,COLE_COD_MCPIO_UBICACION,15686,-0.07151185241573138,0.1661675648600026
